,,,,,,,
date,temperature,humidity,rain,pressure,windspeed,signal,timestamp
31-12-2018 6:37:51,24.7,43,0,92673,0.2,27,1546238271738
31-12-2018 6:43:49,24,45,0,92657,3.7,27,1546238629390
31-12-2018 6:49:47,24.6,44,0,92642,2.5,27,1546238987962
31-12-2018 6:55:45,23.8,44,0,92644,2.1,27,1546239345657
31-12-2018 7:1:42,24,44,0,92626,2.4,27,1546239702512
31-12-2018 7:35:39,24.9,41,0,92533,1.8,99,1546241739294
31-12-2018 7:41:36,25.4,41,0,92522,3.4,27,1546242096685
31-12-2018 7:47:33,24.9,41,0,92512,1.4,27,1546242453988
31-12-2018 7:53:33,25.3,41,0,92495,1,27,1546242813771
31-12-2018 7:59:42,25,40,0,92486,2.8,27,1546243182105
31-12-2018 8:5:39,24.9,42,0,92466,3.4,26,1546243539439
31-12-2018 8:11:53,25.1,42,0,92455,2.7,26,1546243913089
31-12-2018 8:17:57,25.6,40,0,92452,1.9,26,1546244277382
31-12-2018 8:24:5,25.2,41,0,92441,3.4,27,1546244645658
31-12-2018 8:30:11,25.6,40,0,92443,1.4,26,1546245011223
31-12-2018 8:36:12,25.8,38,0,92429,3.3,26,1546245372486
31-12-2018 8:42:23,26,36,0,92424,1.7,27,1546245743055
31-12-2018 8:48:27,25.9,38,0,92424,2.8,26,1546246107452
31-12-2018 8:54:34,26.3,36,0,92416,0.4,26,1546246474087
31-12-2018 9:0:35,26.2,36,0,92402,3.4,26,1546246835379
31-12-2018 9:6:33,26.4,36,0,92397,3.8,27,1546247193889
31-12-2018 9:12:32,26.1,37,0,92386,2.1,27,1546247552587
31-12-2018 9:18:39,26.5,35,0,92392,4.1,27,1546247919298
31-12-2018 9:27:23,25.8,35,0,92380,2.1,26,1546248443647
31-12-2018 9:33:28,26.2,34,0,92384,2.6,26,1546248808926
31-12-2018 9:39:33,26.4,35,0,92383,3,26,1546249173138
31-12-2018 9:45:30,26.1,36,0,92389,1,26,1546249530107
31-12-2018 9:51:34,26.8,34,0,92390,4.8,26,1546249894421
31-12-2018 10:26:29,26.3,35,0,92391,2.4,99,1546251989002
31-12-2018 10:35:6,26.3,35,0,92390,5.7,27,1546252506671
31-12-2018 10:41:3,26.1,35,0,92403,2.3,26,1546252863425
31-12-2018 10:47:10,26.4,35,0,92407,2.6,26,1546253230219
31-12-2018 10:53:17,26.6,36,0,92406,0.1,26,1546253597313
31-12-2018 10:59:22,26.3,35,0,92415,4.7,26,1546253962485
31-12-2018 11:5:29,26.2,36,0,92416,3.8,26,1546254329599
31-12-2018 11:11:34,26.4,36,0,92424,1.2,26,1546254694752
31-12-2018 11:17:41,26.3,36,0,92427,2.5,26,1546255061266
31-12-2018 11:23:40,26.3,36,0,92427,2.5,26,1546255420858
31-12-2018 11:29:40,26.2,36,0,92436,1.8,26,1546255780183
31-12-2018 11:35:39,26.1,36,0,92439,3.3,26,1546256139913
31-12-2018 11:41:46,25.9,36,0,92434,4.4,26,1546256506949
31-12-2018 11:47:56,25.9,36,0,92440,2.6,26,1546256876520
31-12-2018 11:53:53,25.8,37,0,92443,2,26,1546257233897
31-12-2018 12:0:1,25.8,37,0,92441,1.4,26,1546257601210
31-12-2018 12:6:7,25.7,37,0,92444,2.6,26,1546257967520
31-12-2018 12:14:35,25.6,38,0,92448,1.6,26,1546258475313
31-12-2018 12:20:39,25.5,39,0,92452,0.4,26,1546258839286
31-12-2018 12:26:40,25.3,39,0,92461,0.7,26,1546259200331
31-12-2018 12:32:47,25.2,40,0,92469,0.1,27,1546259567452
31-12-2018 12:38:52,25.1,40,0,92483,0.2,26,1546259932726
31-12-2018 12:44:56,25,40,0,92488,1.7,26,1546260296696
31-12-2018 12:50:53,24.9,41,0,92494,1,26,1546260653872
31-12-2018 12:56:51,24.7,40,0,92503,0.3,26,1546261011744
31-12-2018 13:2:49,24.7,40,0,92507,1.1,26,1546261369538
31-12-2018 13:8:54,24.5,40,0,92508,1.2,26,1546261734511
31-12-2018 13:14:59,24.5,41,0,92523,0.4,26,1546262099244
31-12-2018 13:21:7,24.3,43,0,92543,0.8,26,1546262467616
31-12-2018 13:27:6,24,44,0,92547,1,26,1546262826431
31-12-2018 13:33:3,23.8,44,0,92554,1.5,27,1546263183814
31-12-2018 13:39:0,23.8,44,0,92554,1.8,27,1546263540813
31-12-2018 13:44:57,23.8,44,0,92562,1.5,27,1546263897636
31-12-2018 13:50:54,23.7,45,0,92577,1.6,27,1546264254328
31-12-2018 13:56:51,23.6,45,0,92581,2.6,27,1546264611060
31-12-2018 14:2:48,23.6,46,0,92583,1.5,27,1546264968151
31-12-2018 14:8:44,23.5,46,0,92589,2.5,27,1546265324697
31-12-2018 14:14:41,23.4,46,0,92590,1.6,27,1546265681329
31-12-2018 14:20:37,23.4,46,0,92595,2.3,27,1546266037922
31-12-2018 14:26:34,23.4,46,0,92594,2.5,27,1546266394495
31-12-2018 14:32:31,23.2,47,0,92606,2.7,27,1546266751150
31-12-2018 14:38:29,23.1,46,0,92608,2.6,27,1546267109365
31-12-2018 14:44:26,23,45,0,92613,1.9,27,1546267466158
31-12-2018 14:50:23,22.9,45,0,92613,3.6,27,1546267823309
31-12-2018 14:56:22,22.9,44,0,92617,2.3,27,1546268182682
31-12-2018 15:2:19,23,45,0,92620,3.2,27,1546268539801
31-12-2018 15:8:16,22.8,44,0,92623,3.3,27,1546268896594
31-12-2018 15:14:13,22.8,45,0,92622,2.4,27,1546269253424
31-12-2018 15:20:10,22.7,45,0,92627,1.8,27,1546269610659
31-12-2018 15:26:7,22.6,45,0,92633,2.3,27,1546269967869
31-12-2018 15:32:5,22.4,46,0,92637,1.5,27,1546270325665
31-12-2018 15:38:14,22.5,46,0,92649,5.1,27,1546270694673
31-12-2018 15:44:11,22.3,46,0,92654,3.4,27,1546271051590
31-12-2018 15:50:8,22.3,46,0,92658,2.3,26,1546271408203
31-12-2018 15:56:14,22.2,47,0,92659,3.6,26,1546271774217
31-12-2018 16:2:11,22.2,47,0,92660,5.4,26,1546272131946
31-12-2018 16:8:19,22.2,47,0,92660,2,26,1546272499261
31-12-2018 16:14:23,22.1,47,0,92655,5.7,26,1546272863799
31-12-2018 16:23:27,21.8,48,0,92651,3.8,26,1546273407707
31-12-2018 16:29:27,21.7,49,0,92646,5.7,26,1546273767556
31-12-2018 16:35:24,21.5,49,0,92640,2.5,27,1546274124573
31-12-2018 16:41:21,21.4,50,0,92637,3.2,27,1546274481685
31-12-2018 16:47:18,21.5,52,0,92631,1.8,27,1546274838680
31-12-2018 16:53:15,21.4,52,0,92638,2.1,27,1546275195454
31-12-2018 16:59:11,21.2,53,0,92636,1.4,27,1546275551968
31-12-2018 17:5:8,21.2,56,0,92628,3.2,27,1546275908741
31-12-2018 17:11:5,21.1,58,0,92629,3.7,27,1546276265674
31-12-2018 17:17:2,21.1,59,0,92620,1.9,27,1546276622630
31-12-2018 17:25:41,21,60,0,92618,3.2,27,1546277141698
31-12-2018 17:31:49,21,61,0,92598,4.3,26,1546277509570
31-12-2018 17:37:46,20.8,62,0,92606,3.2,26,1546277866326
31-12-2018 17:43:53,20.7,62,0,92607,4.5,26,1546278233977
31-12-2018 17:49:59,20.6,62,0,92603,1.1,26,1546278599047
31-12-2018 17:56:5,20.5,63,0,92601,3.6,26,1546278965039
31-12-2018 18:30:22,20,67,0,92613,1.9,99,1546281022566
31-12-2018 18:36:21,19.9,67,0,92607,1.1,26,1546281381058
31-12-2018 18:42:17,19.9,67,0,92601,1.4,27,1546281737994
31-12-2018 18:48:14,19.8,68,0,92599,1,27,1546282094848
31-12-2018 18:54:11,19.6,68,0,92594,1.5,27,1546282451698
31-12-2018 19:0:8,19.5,69,0,92599,1.6,27,1546282808631
31-12-2018 19:8:46,19.4,69,0,92600,0.9,27,1546283326803
31-12-2018 19:15:5,19.4,69,0,92595,2.5,26,1546283705476
31-12-2018 19:21:13,19.4,70,0,92596,2.5,26,1546284073074
31-12-2018 19:27:13,19.2,70,0,92606,1.8,26,1546284433845
31-12-2018 19:33:10,19,71,0,92594,1.7,27,1546284790437
31-12-2018 19:39:7,18.9,71,0,91924,0.3,27,1546285147149
31-12-2018 19:45:3,18.8,71,0,92589,1.5,27,1546285503823
31-12-2018 19:51:0,18.7,72,0,92587,0.8,27,1546285860379
31-12-2018 19:56:57,18.5,72,0,92588,1.9,27,1546286217089
31-12-2018 20:2:53,18.4,73,0,92588,1.6,27,1546286573784
31-12-2018 20:8:50,18.4,73,0,92582,0.4,27,1546286930421
31-12-2018 20:14:47,18.3,74,0,92573,2.3,28,1546287287249
31-12-2018 20:20:44,18.3,74,0,92577,2.6,27,1546287644045
31-12-2018 20:26:40,18.3,74,0,92569,1.8,27,1546288000740
31-12-2018 20:32:37,18.3,74,0,92569,1.7,27,1546288357552
31-12-2018 20:38:36,18.3,75,0,92568,0.6,27,1546288716225
31-12-2018 20:44:33,18.3,75,0,92563,1.7,27,1546289073079
31-12-2018 20:50:29,18.3,75,0,92560,1.9,27,1546289429869
31-12-2018 20:56:26,18.3,75,0,92565,2,27,1546289786547
31-12-2018 21:2:23,18.1,75,0,92557,1.5,27,1546290143238
31-12-2018 21:8:20,18.1,75,0,92559,3.7,27,1546290500051
31-12-2018 21:14:16,18,76,0,92547,3.3,27,1546290856884
31-12-2018 21:20:13,18,76,0,92543,1.9,27,1546291213562
31-12-2018 21:26:10,18,76,0,92538,3.6,27,1546291570372
31-12-2018 21:32:7,18,76,0,92544,1.7,27,1546291927046
31-12-2018 21:40:33,17.8,77,0,92540,3.5,27,1546292433860
31-12-2018 21:46:31,17.7,77,0,92543,1.8,26,1546292791809
31-12-2018 21:52:38,17.1,79,0,92537,2.4,26,1546293158681
31-12-2018 21:58:39,17,80,0,92538,1.8,26,1546293519599
31-12-2018 22:4:36,16.9,80,0,92541,1.7,27,1546293876369
31-12-2018 22:10:33,16.9,81,0,92541,1.1,27,1546294233046
31-12-2018 22:16:29,16.9,81,0,92541,1.1,27,1546294589998
31-12-2018 22:22:26,16.9,81,0,92542,1.8,27,1546294946512
31-12-2018 22:28:33,16.8,82,0,92550,3.3,27,1546295313301
31-12-2018 22:34:40,16.8,81,0,92553,0.7,26,1546295680280
31-12-2018 22:40:45,16.7,82,0,92560,2.9,26,1546296045567
31-12-2018 22:46:44,16.7,82,0,92750,1.8,26,1546296404260
31-12-2018 22:52:40,16.7,82,0,92568,0.6,27,1546296760775
31-12-2018 22:58:37,16.7,82,0,92573,1.6,27,1546297117437
31-12-2018 23:4:34,16.7,82,0,92579,2.5,27,1546297474083
31-12-2018 23:13:44,16.6,82,0,92580,2.6,27,1546298024889
31-12-2018 23:19:42,16.6,82,0,92592,1.9,26,1546298382127
31-12-2018 23:25:47,16.5,82,0,92594,2.4,26,1546298747503
31-12-2018 23:31:44,16.5,82,0,92594,3,26,1546299104533
31-12-2018 23:37:50,16.4,82,0,92598,2.7,26,1546299470005
31-12-2018 23:43:46,16.4,82,0,92604,2.1,26,1546299826837
31-12-2018 23:50:2,16.3,82,0,92607,2.8,26,1546300202069
31-12-2018 23:56:8,16.3,82,0,92618,2.1,26,1546300568524
1-1-2019 0:2:8,16.3,82,0,92620,1.1,26,1546300928320
1-1-2019 0:8:5,16.1,82,0,92633,2.6,27,1546301285414
1-1-2019 0:14:2,16.1,82,0,92644,1.4,27,1546301642150
1-1-2019 0:19:58,16,82,0,92651,1.7,27,1546301998821
1-1-2019 0:25:55,16.1,82,0,92666,0.7,27,1546302355612
1-1-2019 0:31:55,15.9,82,0,92677,1.1,27,1546302715725
1-1-2019 0:37:52,15.9,82,0,92686,3.7,27,1546303072517
1-1-2019 0:43:49,15.8,82,0,92699,2.5,27,1546303429233
1-1-2019 0:49:46,15.8,82,0,92709,0,27,1546303786188
1-1-2019 0:52:23,15.8,82,0,92709,0,27,1546303943805
1-1-2019 0:58:20,15.7,82,0,92717,0.8,27,1546304300780
1-1-2019 1:4:20,15.6,82,0,92726,0.9,27,1546304660308
1-1-2019 1:10:35,15.7,82,0,92732,1.4,26,1546305035142
1-1-2019 1:22:8,15.4,83,0,92746,0.9,26,1546305728771
1-1-2019 1:28:18,15.5,82,0,92755,1.7,26,1546306098065
1-1-2019 1:36:45,15.5,82,0,92768,0.3,26,1546306605532
1-1-2019 1:42:52,15.6,82,0,92779,0,26,1546306972847
1-1-2019 1:49:5,15.6,82,0,92788,0.7,26,1546307345739
1-1-2019 1:55:4,15.8,81,0,92806,0.3,26,1546307704271
1-1-2019 2:1:1,16,80,0,92819,1,27,1546308061262
1-1-2019 2:6:58,16.3,78,0,92825,0.7,27,1546308418076
1-1-2019 2:12:54,16.7,77,0,92826,1.1,27,1546308774799
1-1-2019 2:18:54,16.7,76,0,92837,0.7,27,1546309134907
1-1-2019 2:25:0,16.9,76,0,92853,1.7,26,1546309500918
1-1-2019 2:30:58,17.3,74,0,92855,0.6,26,1546309858391
1-1-2019 2:36:56,17.3,74,0,92857,3.2,26,1546310216044
1-1-2019 2:43:4,17.4,74,0,92865,1.4,26,1546310584538
1-1-2019 2:49:10,17.7,73,0,92869,1.1,26,1546310950428
1-1-2019 2:55:21,18.3,71,0,92880,3.2,26,1546311321266
1-1-2019 3:1:21,18.2,71,0,92885,2,26,1546311681898
1-1-2019 3:7:18,18,71,0,92886,2.5,27,1546312038877
1-1-2019 3:13:15,18.1,70,0,92884,3.3,27,1546312395807
1-1-2019 3:19:12,18.3,70,0,92890,2.3,27,1546312752380
1-1-2019 3:25:9,18.9,68,0,92896,1.4,27,1546313109272
1-1-2019 3:31:6,19,66,0,92897,5.1,27,1546313466202
1-1-2019 3:37:3,19.2,66,0,92896,3,27,1546313823019
1-1-2019 3:42:59,19.2,65,0,92894,4.9,27,1546314179796
1-1-2019 3:48:56,19.9,64,0,92891,2.7,27,1546314536461
1-1-2019 3:54:53,19.9,60,0,92892,2.8,27,1546314893560
1-1-2019 4:1:2,19.7,56,0,92881,3.5,27,1546315262689
1-1-2019 4:7:9,20.2,55,0,92883,1.2,26,1546315629445
1-1-2019 4:13:14,20.9,53,0,92883,4.7,26,1546315994855
1-1-2019 4:19:22,20.3,55,0,92878,1.7,26,1546316362913
1-1-2019 4:25:21,21.1,51,0,92872,3.9,26,1546316721547
1-1-2019 4:31:18,21.2,47,0,92864,2.6,27,1546317078301
1-1-2019 4:37:14,21.2,45,0,92863,6.6,27,1546317434998
1-1-2019 4:43:11,20.9,45,0,92864,2.9,27,1546317791886
1-1-2019 4:49:8,21.7,44,0,92858,4.6,27,1546318148758
1-1-2019 4:55:5,21.6,42,0,92852,7.3,27,1546318505895
1-1-2019 5:1:13,21.2,43,0,92846,5.8,27,1546318873866
1-1-2019 5:7:20,22.6,37,0,92833,4.3,26,1546319240615
1-1-2019 5:16:42,21.8,40,0,92827,3.3,26,1546319802846
1-1-2019 5:22:39,22.9,39,0,92817,3.4,26,1546320159721
1-1-2019 5:28:36,22.7,38,0,92803,3.7,26,1546320516312
1-1-2019 5:34:41,22.9,40,0,92795,4.5,26,1546320881687
1-1-2019 5:40:56,22.8,41,0,92785,2.3,26,1546321256818
1-1-2019 5:47:7,22.8,39,0,92772,3.6,26,1546321627076
1-1-2019 5:53:5,22.8,41,0,92761,3,26,1546321985590
1-1-2019 5:59:2,23.2,37,0,92742,3.6,27,1546322342704
1-1-2019 6:5:0,22.8,35,0,92724,7.1,27,1546322700275
1-1-2019 6:10:56,23.6,36,0,92709,4.2,27,1546323056888
1-1-2019 6:16:54,24,34,0,92702,3.4,27,1546323414285
1-1-2019 6:22:51,24.5,34,0,92687,3.4,27,1546323771375
1-1-2019 6:28:48,24.1,32,0,92676,1.1,27,1546324128350
1-1-2019 6:34:45,23.7,33,0,92657,0.8,27,1546324485222
1-1-2019 6:40:42,23.7,34,0,92645,2.6,27,1546324842174
1-1-2019 6:46:39,23.7,36,0,92633,3.3,27,1546325199130
1-1-2019 6:52:36,24.8,34,0,92615,2.7,27,1546325556482
1-1-2019 6:58:33,24.3,35,0,92591,2.3,27,1546325913274
1-1-2019 7:4:32,24.8,33,0,92586,2.8,27,1546326272065
1-1-2019 7:10:31,25,32,0,92566,3.6,26,1546326631880
1-1-2019 7:16:28,25,32,0,92548,1.4,27,1546326988694
1-1-2019 7:22:26,24.8,29,0,92532,0.7,27,1546327346011
1-1-2019 7:28:24,25.6,27,0,92520,3.5,27,1546327704047
1-1-2019 7:34:21,24.9,29,0,92506,3.4,27,1546328061234
1-1-2019 7:40:18,25.8,28,0,92485,2.6,27,1546328418028
1-1-2019 7:46:14,25.7,28,0,92480,3.9,27,1546328774902
1-1-2019 7:52:12,25.6,27,0,92457,2.1,27,1546329132616
1-1-2019 7:58:9,26.8,25,0,92452,2.7,27,1546329489711
1-1-2019 8:4:14,26.2,26,0,92444,2.4,27,1546329854060
1-1-2019 8:10:10,26.3,24,0,92428,3,27,1546330210959
1-1-2019 8:16:9,26.9,24,0,92416,1.9,26,1546330569511
1-1-2019 8:22:6,26.5,25,0,92413,3.6,27,1546330926602
1-1-2019 8:28:12,26.9,26,0,92412,2.6,27,1546331292894
1-1-2019 8:42:26,26.5,25,0,92380,6.2,27,1546332146680
1-1-2019 8:48:39,26.7,24,0,92377,2.3,27,1546332519074
1-1-2019 8:54:35,26.7,24,0,92372,4.2,26,1546332875929
1-1-2019 9:0:32,27.3,23,0,92368,6,27,1546333232598
1-1-2019 9:9:7,27,23,0,92361,4.1,26,1546333747308
1-1-2019 9:15:11,27,22,0,92358,3.8,26,1546334111802
1-1-2019 9:21:9,27.1,22,0,92353,4.5,26,1546334469636
1-1-2019 9:27:15,27.3,21,0,92352,6.9,26,1546334835688
1-1-2019 9:33:12,27.3,21,0,92347,3.2,26,1546335192339
1-1-2019 9:39:9,27.2,21,0,92340,3.9,27,1546335549134
1-1-2019 9:45:14,27.4,21,0,92347,2.4,26,1546335914403
1-1-2019 9:51:17,27.5,21,0,92349,4.9,27,1546336277959
1-1-2019 10:6:21,27.9,21,0,92342,0.9,28,1546337181404
1-1-2019 10:12:21,27.7,20,0,92335,2,27,1546337541219
1-1-2019 10:18:27,27.6,20,0,92339,2,26,1546337907531
1-1-2019 10:24:24,27.6,21,0,92342,1.9,26,1546338264308
1-1-2019 10:30:24,27.5,22,0,92340,2.4,26,1546338624919
1-1-2019 10:36:24,27.2,21,0,92156,7,26,1546338984745
1-1-2019 10:42:28,27.2,22,0,92350,1.5,26,1546339348810
1-1-2019 10:48:25,27.3,22,0,92348,1.6,26,1546339705841
1-1-2019 10:54:25,27.6,23,0,92355,3.8,26,1546340065073
1-1-2019 11:0:24,27.3,23,0,92359,1.6,26,1546340424604
1-1-2019 11:34:45,26.6,24,0,92389,4.7,99,1546342485408
1-1-2019 11:40:44,26.6,25,0,92390,3.8,26,1546342844383
1-1-2019 11:46:42,26.6,25,0,92400,2.6,27,1546343202012
1-1-2019 11:53:2,26.4,24,0,92400,1.8,26,1546343582007
1-1-2019 11:58:59,26.2,25,0,92413,2.9,26,1546343939722
1-1-2019 12:5:6,26.1,25,0,92416,4.2,26,1546344306514
1-1-2019 12:11:15,25.8,25,0,92425,3.4,26,1546344675864
1-1-2019 12:17:21,25.8,25,0,92438,1.1,26,1546345041096
1-1-2019 12:26:4,25.8,22,0,92442,4.5,26,1546345564465
1-1-2019 12:34:40,25.6,22,0,92449,1.8,26,1546346080998
1-1-2019 12:40:48,25.4,22,0,92465,1.5,26,1546346448610
1-1-2019 12:46:55,25.1,23,0,92470,1,26,1546346815310
1-1-2019 12:52:53,24.9,23,0,92482,2.3,26,1546347173278
1-1-2019 12:58:58,24.7,24,0,92488,2.8,26,1546347538853
1-1-2019 13:4:55,24.5,25,0,92499,1.8,26,1546347895449
1-1-2019 13:11:0,24.3,25,0,92506,1.7,26,1546348260783
1-1-2019 13:16:58,24.4,26,0,92511,2,26,1546348618315
1-1-2019 13:22:56,24.1,26,0,92512,1.1,26,1546348976809
1-1-2019 13:29:1,23.8,28,0,92519,2.6,26,1546349341858
1-1-2019 13:34:58,23.7,28,0,92521,2.1,26,1546349698632
1-1-2019 13:40:56,23.6,29,0,92520,1.8,26,1546350056585
1-1-2019 13:46:53,23.4,29,0,92523,1.9,26,1546350413497
1-1-2019 13:52:50,23.3,30,0,92529,1.2,26,1546350770734
1-1-2019 13:58:57,23.3,29,0,93211,3,26,1546351137824
1-1-2019 14:4:57,23.2,31,0,92547,1,26,1546351497337
1-1-2019 14:10:54,23,30,0,92553,2,26,1546351854511
1-1-2019 14:16:51,23.1,30,0,92559,2.6,27,1546352211288
1-1-2019 14:22:48,22.9,30,0,92563,1.6,27,1546352568196
1-1-2019 14:28:45,22.8,30,0,92568,2.1,27,1546352925191
1-1-2019 14:34:51,22.9,30,0,92571,2.8,27,1546353291184
1-1-2019 14:40:47,22.5,32,0,92586,2.9,27,1546353647979
1-1-2019 14:46:51,22.4,33,0,92593,2.1,27,1546354011992
1-1-2019 14:53:2,22.3,33,0,92597,0.7,27,1546354382684
1-1-2019 14:59:5,22.1,33,0,92599,3,27,1546354745256
1-1-2019 15:5:13,22,33,0,92609,2.7,26,1546355113233
1-1-2019 15:11:17,21.9,34,0,92612,1,26,1546355477324
1-1-2019 15:17:22,21.7,35,0,92618,0.6,26,1546355842199
1-1-2019 15:23:35,21.6,35,0,92615,3.3,26,1546356215673
1-1-2019 15:29:49,21.6,35,0,92614,2.1,26,1546356589484
1-1-2019 15:35:56,21.7,35,0,92615,2,26,1546356956737
1-1-2019 15:42:8,21.6,36,0,92614,3.3,26,1546357328670
1-1-2019 15:51:28,21.1,38,0,92621,2.7,26,1546357888859
1-1-2019 15:57:36,21.1,39,0,92623,2.5,26,1546358256914
1-1-2019 16:6:13,20.9,39,0,92625,1.9,27,1546358773676
1-1-2019 16:12:20,20.6,40,0,92613,2.6,26,1546359140293
1-1-2019 16:18:26,20.6,41,0,92625,0.9,26,1546359506928
1-1-2019 16:24:32,20.5,42,0,92629,2.6,26,1546359872664
1-1-2019 16:30:29,20.5,43,0,92620,0.4,26,1546360229695
1-1-2019 17:4:45,20,48,0,92628,2.1,99,1546362285479
1-1-2019 17:10:42,19.8,49,0,92630,3,27,1546362642490
1-1-2019 17:19:11,19.7,50,0,92624,4.2,27,1546363151280
1-1-2019 17:25:8,19.5,51,0,92629,4.4,27,1546363508355
1-1-2019 17:31:5,19.5,51,0,92620,1.8,27,1546363865429
1-1-2019 17:37:3,19.3,52,0,92621,2.6,27,1546364223982
1-1-2019 17:43:1,19.5,52,0,92617,5.6,27,1546364581055
1-1-2019 17:48:58,19.3,53,0,92620,4.6,27,1546364938612
1-1-2019 17:54:55,19.3,54,0,92616,2.3,27,1546365295364
1-1-2019 18:0:52,19.1,55,0,92618,6.3,27,1546365652754
1-1-2019 18:6:50,19,55,0,92606,1.7,27,1546366010690
1-1-2019 18:12:56,18.9,55,0,92606,3.7,27,1546366376624
1-1-2019 18:18:53,18.9,56,0,92605,0.8,27,1546366733360
1-1-2019 18:27:34,18.7,56,0,92602,1.6,27,1546367254224
1-1-2019 18:36:36,18.6,57,0,92599,2.4,26,1546367796896
1-1-2019 18:42:35,18.5,59,0,92602,4.2,26,1546368155349
1-1-2019 18:48:39,18.4,60,0,92598,1,26,1546368519301
1-1-2019 18:57:6,18.3,62,0,92599,2.8,26,1546369026412
1-1-2019 19:3:3,18.1,63,0,92596,0.6,26,1546369383225
1-1-2019 19:9:11,18,65,0,92586,1.5,26,1546369751722
1-1-2019 19:15:11,18,66,0,92578,1,26,1546370111271
1-1-2019 19:21:12,17.7,67,0,92576,2.5,27,1546370472204
1-1-2019 19:27:20,17.7,68,0,92575,2,26,1546370840957
1-1-2019 19:33:17,17.6,68,0,92575,3.4,26,1546371197754
1-1-2019 19:39:15,17.6,69,0,92573,1.4,26,1546371555186
1-1-2019 19:45:12,17.6,69,0,92568,2,26,1546371912160
1-1-2019 19:51:14,17.5,69,0,92559,2.3,26,1546372274712
1-1-2019 19:57:23,17.5,70,0,92555,3.4,26,1546372643128
1-1-2019 20:3:20,17.3,70,0,92540,1.9,26,1546373000618
1-1-2019 20:9:29,17.3,70,0,92533,3.2,26,1546373369556
1-1-2019 20:15:28,17.3,70,0,92527,1.6,26,1546373728868
1-1-2019 20:21:25,17.2,70,0,92534,5.7,27,1546374085717
1-1-2019 20:27:22,17,71,0,92532,4.4,27,1546374442735
1-1-2019 20:33:20,16.9,71,0,92523,8.3,27,1546374800167
1-1-2019 20:39:18,16.9,71,0,92519,2,27,1546375158102
1-1-2019 20:45:15,16.8,71,0,92511,2,27,1546375515772
1-1-2019 20:51:14,16.8,72,0,92505,2.7,27,1546375874013
1-1-2019 20:57:10,16.7,72,0,92502,2.6,27,1546376230741
1-1-2019 21:3:9,16.6,72,0,92502,3.8,27,1546376589055
1-1-2019 21:9:12,16.4,73,0,92502,5.8,27,1546376952806
1-1-2019 21:15:11,16.3,74,0,92495,0.7,26,1546377311260
1-1-2019 21:21:8,16.3,74,0,92501,1.6,27,1546377668013
1-1-2019 21:27:4,16.2,75,0,92495,1.8,27,1546378024849
1-1-2019 21:33:1,16,76,0,92489,2.6,27,1546378381922
1-1-2019 21:38:59,16,76,0,92489,2.3,27,1546378739915
1-1-2019 21:45:6,15.8,77,0,92482,4.7,27,1546379106450
1-1-2019 21:51:4,15.7,77,0,92483,1.8,27,1546379464359
1-1-2019 21:57:2,15.8,78,0,92493,2.6,27,1546379822270
1-1-2019 22:31:18,15.5,79,0,92473,1.7,99,1546381878401
1-1-2019 22:37:15,15.4,79,0,92484,1.4,27,1546382235190
1-1-2019 22:43:13,15.3,79,0,92479,0.8,27,1546382593103
